Morning_Care_Completed,Morning_Care_Delay_Mins,Uncleaned_Days,Season,Night_Cover,Quiz_Score,Chat_Score,Risk_Class
0,180,0,3,1,94,5,3
1,39,2,4,1,61,9,2
1,81,4,3,1,66,2,3
1,55,4,2,1,62,5,2
1,73,2,2,1,70,8,2
1,24,1,4,1,64,4,2
1,131,3,1,1,50,5,3
0,180,1,4,1,85,9,3
1,41,2,3,1,74,7,1
1,28,4,3,1,63,3,3
1,55,1,3,1,53,4,2
0,180,0,3,0,74,4,3
1,87,0,4,1,69,4,2
0,180,0,3,1,55,4,3
1,80,1,2,1,49,7,2
1,97,0,2,1,98,4,2
1,25,4,3,1,93,7,3
1,28,2,1,0,84,9,3
1,131,5,4,1,79,9,3
0,180,0,1,1,63,5,3
0,180,0,4,1,81,7,3
1,104,0,4,1,69,5,2
1,35,1,2,1,89,2,3
0,180,1,1,1,100,9,3
1,136,0,4,1,70,1,3
1,89,0,3,1,76,6,2
1,47,1,3,1,47,2,3
1,27,4,4,1,69,3,2
1,64,1,2,1,61,3,2
1,61,1,3,1,65,5,2
1,58,1,2,1,79,4,2
1,88,1,4,1,52,6,2
1,12,1,3,1,48,8,2
1,68,0,3,1,64,5,2
0,180,5,4,1,48,7,3
1,154,1,4,1,82,4,3
0,180,0,1,1,60,3,3
1,40,0,4,1,68,4,2
1,7,0,4,1,75,4,2
1,33,3,1,1,58,3,2
0,180,3,2,1,73,6,3
1,86,0,1,1,71,7,2
0,180,0,3,1,87,4,3
1,97,2,2,1,83,8,2
1,35,0,2,1,54,7,2
0,180,3,4,1,63,7,3
1,43,2,4,1,74,9,2
1,53,0,4,0,62,5,2
1,26,1,4,1,90,7,1
1,32,1,1,1,79,9,1
1,65,1,3,1,78,5,2
1,92,2,4,0,62,3,2
1,29,0,3,1,56,5,2
1,59,1,1,1,65,2,3
1,26,0,1,1,71,7,1
1,135,1,4,1,73,7,3
1,30,1,3,1,86,1,3
1,56,0,3,1,66,3,2
0,180,1,1,1,73,5,3
0,180,0,1,1,75,4,3
1,4,1,3,1,47,2,3
0,180,1,1,1,67,5,3
1,33,4,1,1,64,3,2
0,180,0,1,1,71,8,3
1,41,2,1,1,53,7,2
0,180,0,1,1,85,3,3
1,44,1,1,1,68,5,2
0,180,1,3,1,74,5,3
1,10,0,4,1,90,4,2
1,63,1,2,0,54,10,2
1,94,2,4,0,64,8,2
1,113,1,3,1,68,2,3
1,14,2,3,1,43,7,2
1,97,4,4,0,60,8,2
1,52,0,4,1,60,3,2
1,73,2,1,1,83,8,2
1,92,0,1,1,85,5,2
1,16,0,4,1,55,5,2
1,41,0,3,1,85,6,1
1,89,1,2,1,77,7,2
1,35,1,1,1,67,7,1
1,42,3,4,1,72,6,2
1,141,0,4,1,63,7,3
0,180,3,2,1,51,4,3
1,23,0,3,1,64,3,2
1,30,0,4,1,79,5,2
0,180,0,1,0,47,6,3
1,34,1,4,1,78,7,1
1,21,1,4,1,87,5,2
1,58,3,4,1,73,4,2
0,180,1,1,1,70,8,3
1,72,1,4,0,56,9,2
1,16,0,2,1,49,8,2
1,58,0,1,1,60,10,1
1,109,2,3,1,60,6,2
1,55,1,4,1,61,9,1
1,113,1,2,0,68,3,2
1,39,1,4,1,62,6,1
1,50,0,2,1,68,6,1
1,33,2,1,1,75,3,2
1,25,0,4,1,57,3,2
1,69,0,4,1,79,3,2
1,72,0,2,1,70,6,2
1,20,0,2,1,54,7,2
1,131,3,2,1,61,6,3
1,52,0,3,0,60,6,1
1,65,1,4,1,45,7,2
1,14,0,2,1,67,8,1
1,53,2,4,1,75,6,2
1,107,0,1,1,60,6,2
1,91,1,2,1,86,5,2
1,106,1,1,1,72,9,2
1,41,2,4,1,76,7,2
1,12,0,3,1,90,10,1
1,67,4,1,1,70,3,2
1,33,1,2,1,63,2,3
1,81,1,3,1,65,6,2
1,97,1,3,1,81,4,2
1,68,3,1,1,48,6,2
1,13,1,2,0,77,3,2
1,34,1,2,1,56,6,2
1,11,0,4,1,77,5,2
1,164,1,2,1,60,9,3
0,180,0,3,1,47,9,3
1,46,0,2,1,75,6,1
1,14,1,4,1,60,2,3
0,180,1,2,1,70,6,3
0,180,0,3,1,86,8,3
1,19,5,2,1,51,4,2
1,41,0,2,0,57,4,2
1,124,0,1,1,41,9,3
1,20,0,1,1,50,4,2
1,138,0,3,1,62,5,3
1,77,2,2,1,83,7,2
1,61,4,3,0,90,8,3
1,42,1,4,0,70,5,2
1,31,0,1,0,60,6,3
1,96,1,4,1,49,5,2
1,36,1,2,0,77,7,1
1,96,1,1,1,35,7,2
1,30,3,1,1,59,4,2
1,92,0,2,1,89,10,2
1,99,2,2,1,69,1,3
1,18,3,3,1,69,6,1
1,67,0,4,1,97,7,2
1,21,2,1,1,65,5,2
0,180,0,4,1,78,5,3
0,180,0,4,1,70,10,3
1,108,1,1,1,77,5,2
0,180,5,4,1,58,6,3
0,180,0,4,1,75,8,3
1,74,1,4,0,73,2,3
1,102,0,4,1,49,5,2
1,5,0,4,1,68,5,2
1,29,1,1,0,77,7,3
1,28,2,4,1,41,9,2
1,16,0,4,1,55,5,2
0,180,0,3,1,83,5,3
0,180,0,4,1,79,6,3
1,68,0,2,1,67,6,2
1,97,1,4,1,76,6,2
1,108,1,1,1,75,5,2
1,149,0,1,1,67,10,3
1,46,1,2,1,91,8,1
1,12,2,2,1,76,4,2
1,77,1,3,0,100,9,2
1,77,2,1,0,76,4,3
1,53,0,4,1,67,6,1
1,23,0,2,1,61,6,1
1,73,1,4,1,64,5,2
1,19,0,2,1,78,2,3
0,180,2,3,1,72,4,3
1,38,0,1,1,76,10,1
1,12,5,3,1,100,5,3
1,79,0,1,1,88,5,2
0,180,0,2,1,47,4,3
1,129,0,3,0,52,4,3
1,161,3,4,1,71,6,3
1,71,0,4,1,78,5,2
1,88,3,3,1,84,8,2
1,17,1,3,0,44,9,2
1,16,0,2,0,68,3,2
1,56,0,3,1,62,5,2
1,83,0,1,0,84,5,3
0,180,4,1,1,58,9,3
1,76,0,4,1,69,4,2
0,180,0,1,1,58,3,3
1,5,0,1,1,75,2,3
1,50,1,2,1,55,6,2
1,16,1,2,1,95,7,1
1,37,4,1,1,76,5,2
1,138,4,3,1,56,4,3
1,138,0,4,1,78,6,3
1,85,2,3,1,68,6,2
1,64,1,1,1,58,6,2
1,71,0,1,1,43,1,3
1,17,2,4,1,66,5,2
1,24,3,3,1,85,6,1
1,110,1,2,1,66,5,2
1,63,4,2,1,84,2,3
1,62,3,4,1,71,7,2
1,114,0,2,1,70,4,2
0,180,4,2,1,30,8,3
1,170,1,3,1,66,2,3
1,65,1,3,1,72,5,2
1,69,2,1,1,81,8,2
1,137,3,1,1,90,2,3
0,180,0,4,1,60,6,3
1,73,1,4,1,80,4,2
1,93,3,3,1,75,4,2
1,57,1,1,0,71,7,3
1,98,0,4,1,83,7,2
0,180,1,4,1,88,3,3
1,21,0,4,1,88,2,3
1,25,2,1,1,37,7,2
1,33,2,4,1,72,6,2
1,70,0,4,1,64,6,2
0,180,2,1,1,63,6,3
1,147,3,2,1,68,8,3
1,99,2,1,1,76,6,2
0,180,0,3,1,66,4,3
0,180,3,4,1,47,6,3
0,180,0,1,1,100,5,3
0,180,1,3,1,74,6,3
0,180,1,3,1,62,1,3
1,21,2,1,1,76,3,2
1,82,2,4,0,69,8,2
1,9,2,2,1,64,3,2
1,55,3,3,1,86,2,3
0,180,0,1,1,68,2,3
1,129,3,3,1,71,7,3
0,180,1,3,1,55,4,3
1,12,1,1,1,72,6,1
1,61,1,2,1,74,7,2
1,127,1,3,1,72,6,3
1,160,0,1,1,66,9,3
1,96,1,1,1,55,6,2
1,55,0,2,1,100,4,2
1,61,0,1,1,70,9,2
1,19,0,3,1,75,4,2
1,90,1,3,1,66,5,2
0,180,1,2,1,92,3,3
1,28,5,2,1,62,5,2
1,78,0,3,1,55,4,2
1,17,2,1,1,57,6,2
1,55,0,1,1,58,3,2
1,71,0,1,1,60,4,2
1,57,1,3,1,83,5,2
1,22,1,2,1,59,6,2
1,15,0,4,1,85,7,1
1,16,0,2,1,81,5,2
1,105,3,3,1,62,4,2
1,113,3,1,1,65,4,2
1,50,1,1,1,65,6,1
1,52,2,4,1,54,3,2
1,85,0,2,1,84,4,2
1,50,1,3,1,90,2,3
1,123,1,4,1,66,6,3
1,37,2,2,0,63,4,2
1,85,0,2,1,58,3,2
1,108,3,1,1,86,5,2
1,57,0,4,1,64,7,1
1,64,0,2,1,51,6,2
1,57,0,4,1,85,6,1
1,64,2,3,1,49,4,2
1,40,2,2,1,57,8,2
1,88,0,4,1,70,4,2
1,108,4,3,1,65,6,3
0,180,1,4,1,62,5,3
0,180,0,4,1,74,7,3
1,11,1,1,1,49,6,2
0,180,0,4,1,68,3,3
1,68,3,2,1,82,9,2
1,79,1,3,1,38,9,2
0,180,2,3,1,63,7,3
0,180,0,3,1,57,5,3
1,64,0,2,1,66,7,2
1,156,1,2,1,65,4,3
1,41,1,4,1,84,4,2
0,180,1,1,1,78,6,3
1,25,2,2,0,66,4,2
1,99,0,1,1,50,6,2
1,65,0,4,1,75,2,3
1,80,3,4,1,75,3,2
0,180,0,3,1,90,3,3
1,28,1,3,1,50,5,2
1,147,0,2,0,100,8,3
1,18,0,3,1,83,7,1
1,38,2,2,1,88,4,2
1,74,2,3,1,57,5,2
1,37,0,2,1,71,4,2
1,46,0,2,1,63,7,1
0,180,1,4,0,88,0,3
1,80,1,2,0,64,4,2
0,180,3,4,1,69,5,3
1,97,1,4,1,63,8,2
1,14,0,1,1,75,8,1
1,83,2,2,1,57,0,3
1,77,3,2,1,69,5,2
1,23,0,1,1,71,7,1
1,75,1,1,1,71,6,2
1,13,2,1,1,100,8,2
1,100,0,1,1,83,5,2
0,180,0,2,1,79,7,3
1,63,4,2,1,99,2,3
0,180,1,1,1,62,5,3
1,70,1,1,1,69,1,3
1,47,1,2,1,75,9,1
1,24,2,1,1,100,3,2
1,64,0,1,1,76,8,2
0,180,0,2,1,46,3,3
1,52,1,3,1,81,8,1
0,180,4,2,1,70,7,3
1,50,2,2,1,61,7,2
1,98,1,1,1,47,3,2
0,180,0,2,1,74,5,3
1,7,1,1,1,47,4,2
1,9,0,4,1,78,7,1
0,180,1,3,1,63,5,3
1,5,0,2,1,75,6,1
1,66,3,2,1,55,6,2
1,56,0,3,1,61,3,2
1,45,3,1,1,65,5,2
0,180,1,3,1,68,8,3
1,78,0,1,1,46,9,2
1,41,3,4,1,71,5,2
0,180,1,2,1,63,4,3
1,42,2,1,1,58,6,2
1,81,1,2,1,60,6,2
1,69,0,1,1,75,6,2
0,180,1,4,1,67,5,3
1,79,0,1,1,56,4,2
1,27,1,2,1,74,4,2
1,32,2,3,0,65,5,2
1,19,0,4,1,62,5,2
0,180,1,1,1,52,2,3
1,1,3,4,1,66,6,2
1,28,2,4,1,81,1,3
0,180,1,4,1,59,6,3
0,180,0,4,1,94,6,3
1,60,1,4,1,65,4,2
1,21,1,3,1,51,5,2
1,164,0,2,1,73,3,3
1,65,0,3,1,72,4,2
1,116,0,2,1,67,4,2
1,46,0,1,1,71,5,2
1,20,3,4,1,68,7,2
1,89,3,4,1,46,5,2
1,139,2,4,1,76,8,3
0,180,0,1,1,46,5,3
1,81,0,1,0,80,6,3
1,80,1,2,1,69,5,2
1,34,2,3,1,74,4,2
0,180,1,4,1,68,8,3
1,13,0,1,1,99,4,2
0,180,1,4,0,46,4,3
1,146,1,4,1,81,4,3
1,44,2,2,1,71,7,2
0,180,1,1,1,68,7,3
1,93,0,2,1,50,9,2
1,140,1,2,1,77,9,3
0,180,0,2,1,77,4,3
1,18,0,4,1,71,3,2
1,56,1,4,1,84,4,2
1,24,2,3,1,70,4,2
1,49,3,1,1,52,7,2
1,153,1,4,1,92,6,3
1,16,0,3,1,69,7,1
0,180,0,2,1,75,9,3
1,114,0,2,1,92,5,2
0,180,2,2,1,76,4,3
0,180,2,4,1,77,8,3
0,180,2,3,1,64,8,3
1,46,1,1,1,69,9,1
1,92,0,3,1,80,5,2
1,18,3,2,1,59,3,2
0,180,0,3,1,45,6,3
0,180,0,3,1,99,4,3
1,133,1,4,1,78,6,3
1,37,0,3,1,45,8,2
1,137,2,4,1,71,6,3
1,79,3,1,1,64,6,2
0,180,1,1,1,49,8,3
1,31,0,4,1,70,7,1
1,19,2,1,1,49,9,2
0,180,1,3,1,94,9,3
1,69,1,4,1,61,4,2
1,63,2,4,1,62,6,2
1,61,2,2,1,68,6,2
0,180,3,4,1,72,2,3
1,102,1,2,1,56,5,2
1,91,0,4,1,88,7,2
1,102,1,3,1,68,2,3
1,114,0,3,1,54,6,2
1,57,0,2,1,60,5,2
1,32,2,1,1,80,7,2
1,37,2,3,1,73,4,2
0,180,4,1,1,55,7,3
1,124,0,4,1,88,8,3
1,97,1,1,1,69,5,2
1,26,0,3,0,83,8,1
1,64,0,4,1,79,9,2
0,180,0,1,1,67,6,3
1,68,0,2,1,95,6,2
1,70,0,1,1,47,6,2
1,149,2,1,1,55,3,3
1,18,0,3,1,60,6,1
1,41,0,1,1,58,6,2
1,24,0,3,1,40,6,2
1,115,0,2,1,77,3,2
1,98,1,2,1,59,4,2
1,37,0,4,1,59,2,3
1,34,1,3,1,64,5,2
0,180,0,1,1,63,6,3
1,110,1,3,1,74,9,2
1,131,1,1,1,60,4,3
1,122,2,1,1,69,6,3
1,36,3,1,1,71,7,2
1,79,1,2,1,46,4,2
1,67,1,4,1,74,7,2
1,39,0,4,0,85,4,2
0,180,2,4,1,48,7,3
1,66,0,3,1,33,7,2
1,9,0,1,1,82,5,2
1,27,3,1,1,96,4,2
0,180,1,2,1,61,6,3
1,122,0,3,1,82,7,3
0,180,2,3,1,83,9,3
1,67,3,3,1,75,4,2
1,131,0,4,1,90,3,3
1,78,1,1,1,66,5,2
1,37,1,3,1,70,6,1
1,45,1,1,1,66,7,1
1,14,1,1,1,68,8,1
1,85,2,4,1,48,6,2
1,73,2,2,1,68,8,2
1,67,0,4,1,62,7,2
1,8,0,3,1,86,5,2
1,11,2,2,1,83,8,2
1,92,0,2,1,71,5,2
1,17,1,1,1,69,4,2
1,93,1,2,1,62,4,2
0,180,1,3,1,64,9,3
1,11,1,1,1,58,3,2
0,180,0,1,1,84,3,3
1,44,4,1,0,49,6,3
1,25,4,1,1,81,5,2
1,92,0,3,1,53,10,2
0,180,0,1,1,92,3,3
0,180,0,3,1,61,7,3
1,90,1,2,1,55,5,2
1,71,1,2,1,82,7,2
0,180,3,3,1,96,3,3
1,128,2,2,1,35,4,3
1,37,3,1,1,81,4,2
1,51,3,3,1,73,6,1
1,159,1,2,1,70,6,3
1,99,0,4,1,49,8,2
1,19,0,1,1,100,5,2
0,180,0,2,1,100,7,3
0,180,3,4,1,91,2,3
1,98,1,4,1,42,8,2
1,62,1,1,1,43,7,2
1,168,1,4,0,84,6,3
1,146,0,4,1,60,9,3
1,49,1,1,1,83,4,2
1,15,1,2,1,91,4,2
1,48,1,2,1,95,3,2
0,180,0,3,1,92,4,3
1,18,0,4,1,90,7,1
1,152,1,2,1,51,8,3
0,180,1,2,1,85,8,3
1,36,2,4,1,83,9,2
0,180,0,3,1,52,6,3
0,180,1,4,1,55,4,3
1,14,1,2,1,66,8,1
0,180,0,2,1,67,5,3
0,180,1,3,1,76,6,3
0,180,0,3,1,62,3,3
1,23,1,3,0,80,6,1
1,44,0,4,1,85,6,1
1,115,0,4,1,63,3,2
1,90,1,1,1,56,1,3
0,180,0,3,1,51,4,3
0,180,1,4,1,58,4,3
1,72,2,2,1,90,6,2
1,112,2,4,1,60,8,2
1,5,0,3,1,81,6,1
1,96,0,3,1,66,3,2
1,23,0,3,0,53,6,2
1,19,0,4,1,56,5,2
1,48,2,3,1,61,3,2
1,67,0,3,1,87,9,2
1,43,1,2,1,54,7,2
0,180,2,3,1,69,6,3
0,180,0,3,1,67,6,3
1,98,3,4,1,79,1,3
1,40,1,3,1,88,9,1
0,180,3,2,1,84,6,3
0,180,0,3,0,62,3,3
1,54,0,3,1,71,3,2
1,25,0,3,1,64,4,2
1,17,4,1,1,62,7,2
1,86,0,2,1,58,9,2
1,11,0,1,1,84,6,1
1,70,1,4,1,59,9,2
1,81,1,4,1,92,7,2
1,16,0,4,1,77,5,2
0,180,0,3,1,63,3,3
1,120,1,1,1,82,7,3
0,180,0,3,1,74,6,3
0,180,2,3,1,81,6,3
1,69,0,2,1,84,5,2
1,105,1,4,1,57,8,2
1,80,2,4,1,59,4,2
1,51,0,4,1,91,8,1
1,44,1,1,1,82,2,3
0,180,1,1,1,61,4,3
1,73,1,2,1,62,8,2
0,180,0,4,1,100,2,3
1,72,1,2,1,99,7,2
0,180,0,3,1,69,6,3
1,69,1,4,1,60,6,2
1,20,1,3,1,99,10,1
1,19,0,1,1,86,4,2
0,180,0,2,1,55,7,3
1,71,1,2,1,45,7,2
1,28,1,1,1,76,4,2
1,47,1,3,1,86,6,1
1,68,4,1,1,64,0,3
0,180,2,4,1,49,5,3
1,75,1,1,1,50,5,2
1,126,1,1,1,53,5,3
1,48,4,3,1,100,6,3
1,89,1,1,1,52,4,2
1,34,2,1,1,85,7,2
0,180,0,2,1,68,7,3
1,71,3,2,1,63,6,2
1,29,0,1,1,77,6,1
0,180,0,4,1,57,7,3
1,89,0,3,1,67,9,2
1,53,1,4,1,70,3,2
1,86,1,2,1,58,6,2
1,44,0,1,1,56,5,2
0,180,1,3,1,69,6,3
1,45,2,2,1,61,5,2
1,84,0,1,1,71,5,2
1,16,1,2,1,69,6,1
1,12,1,2,0,54,3,2
1,114,0,2,1,66,4,2
1,136,1,3,1,62,3,3
1,31,2,3,1,60,7,1
1,143,0,4,1,79,5,3
1,77,0,4,1,49,2,3
1,16,0,3,1,87,6,1
1,1,0,4,1,59,1,3
1,60,3,4,1,50,7,2
0,180,0,2,1,96,4,3
1,66,3,3,1,68,6,2
0,180,1,3,1,75,5,3
1,96,1,2,1,91,5,2
1,45,0,3,1,82,4,2
1,9,0,2,1,87,6,1
1,62,2,4,0,83,6,2
1,88,1,2,1,61,4,2
1,118,0,2,0,78,6,2
1,54,3,1,1,68,5,2
1,126,2,1,1,79,8,3
0,180,0,4,1,65,5,3
1,39,2,4,1,89,5,2
1,110,2,1,1,66,6,2
1,48,1,2,1,73,5,2
1,112,1,2,1,68,6,2
1,15,1,3,1,79,2,3
1,26,1,4,1,89,4,2
1,23,1,1,1,72,4,2
1,29,0,1,1,98,1,3
1,53,1,2,1,79,9,1
1,149,1,2,1,74,5,3
1,26,0,4,1,67,1,3
1,100,1,1,1,71,8,2
1,48,2,3,1,78,6,1
1,47,0,2,1,65,5,2
1,27,1,2,1,85,8,1
1,153,0,2,1,58,5,3
1,54,1,3,1,67,7,1
1,142,3,2,1,80,4,3
0,180,1,4,1,66,2,3
1,38,1,2,0,82,4,2
1,163,2,1,1,48,8,3
1,16,1,1,1,94,6,1
0,180,0,3,1,72,5,3
1,22,1,1,0,62,6,3
1,24,3,4,1,91,6,2
1,84,1,3,1,65,10,2
1,101,2,1,1,52,9,2
1,128,0,1,1,56,8,3
1,23,1,1,1,71,4,2
1,63,1,2,1,70,4,2
0,180,1,4,1,82,6,3
1,61,0,3,1,54,8,2
1,154,3,2,1,64,6,3
0,180,0,1,1,66,9,3
1,119,1,1,1,88,5,2
1,40,1,1,1,98,7,1
1,140,1,4,1,55,3,3
1,80,1,4,1,40,4,2
1,100,0,3,0,70,5,2
1,52,0,2,1,61,10,1
0,180,1,2,1,100,10,3
1,51,0,2,1,82,6,1
1,43,1,2,1,72,6,1
0,180,2,4,0,92,10,3
1,59,1,3,1,61,10,1
0,180,1,2,1,65,1,3
